"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.229066000E0,4.790587239E-3,5.351481400E-3,-3.530314922E-2,3.602638511E-2
1.239020000E0,-1.571000665E-3,2.820148654E-3,-2.737374008E-2,2.756343461E-2
1.248975000E0,2.810427658E-3,-5.017532296E-3,-3.425591290E-2,3.473530916E-2
1.258929000E0,-8.409027010E-5,-1.982494812E-2,-1.464961410E-2,2.465049355E-2
1.268884000E0,1.045445614E-2,-9.654538762E-3,-1.540156603E-2,2.096935879E-2
1.278838000E0,1.315861065E-2,-1.088243578E-2,-1.001160264E-2,1.979415646E-2
1.288792000E0,-7.708457485E-4,-3.234259430E-3,-9.259650707E-3,9.838484052E-3
1.298747000E0,1.922564507E-3,1.037584763E-2,-9.708132148E-3,1.433883880E-2
1.308701000E0,1.766473085E-2,3.705060789E-2,-3.066455305E-2,5.123577924E-2
1.318656000E0,7.981705181E-3,4.560488340E-2,-2.871684551E-2,5.448091614E-2
1.328610000E0,1.246626377E-3,-1.084928937E-2,-2.242933452E-2,2.494666720E-2
1.338565000E0,-2.716360576E-3,-4.520063980E-2,-3.066046000E-2,5.468583235E-2
1.348519000E0,9.406744726E-3,-3.490367476E-2,-4.083870828E-2,5.453946692E-2
1.358473000E0,1.615530867E-2,-3.210963758E-2,-4.757703960E-2,5.962883129E-2
1.368428000E0,5.010917634E-3,7.125983443E-3,-2.272520363E-2,2.433770358E-2
1.378382000E0,3.373149075E-3,3.116396008E-2,-2.242348731E-2,3.854067106E-2
1.388337000E0,-1.181671120E-2,4.028680421E-2,-1.763695657E-2,4.553815427E-2
1.398291000E0,2.744171396E-3,1.980634667E-3,-1.359594584E-2,1.401082201E-2
1.408246000E0,2.631539404E-3,-2.055670889E-2,-2.123065531E-2,2.966890637E-2
1.418200000E0,-2.619991153E-3,-4.097361451E-2,-1.000750959E-2,4.225933847E-2
1.428154000E0,5.288002566E-3,-3.099517655E-2,-5.027786851E-2,5.930032042E-2
1.438109000E0,-4.754517227E-4,-9.790833704E-3,-3.456698477E-2,3.592997238E-2
1.448063000E0,6.698204800E-3,2.399633350E-2,-3.366826773E-2,4.188367487E-2
1.458018000E0,3.801823072E-3,2.036353150E-2,-1.450928092E-2,2.529123379E-2
1.467972000E0,1.338062212E-3,2.838835990E-2,-1.540156603E-2,3.232487625E-2
1.477927000E0,4.742384255E-3,1.151170582E-2,-1.405787587E-2,1.877853704E-2
1.487881000E0,6.544313394E-3,-5.559697095E-3,-2.483487904E-2,2.627754719E-2
1.497835000E0,3.972561769E-3,-1.826628143E-2,-4.714025259E-2,5.071135670E-2
1.507790000E0,5.703264512E-3,-1.865132058E-2,-3.442197382E-2,3.956350929E-2
1.517744000E0,7.489588894E-3,-1.587182835E-2,-3.442489743E-2,3.864042495E-2
1.527699000E0,-2.799756490E-3,-2.448528863E-2,-2.364263177E-2,3.415175007E-2
1.537653000E0,-6.971708313E-4,-1.236406540E-2,-4.220403314E-2,4.398336701E-2
1.547608000E0,2.128861584E-3,1.102529056E-2,-1.615527213E-2,1.967439710E-2
1.557562000E0,2.339014169E-2,2.520232173E-2,-1.974663198E-2,3.965079095E-2
1.567516000E0,2.877455022E-2,2.432240713E-2,-2.663289785E-2,4.613963023E-2
1.577471000E0,-4.312869720E-3,2.080812089E-2,-2.798243523E-2,3.513681006E-2
1.587425000E0,-8.146523573E-3,3.430214245E-3,-1.615410268E-2,1.841432186E-2
1.597380000E0,-1.232702695E-3,-1.407015502E-2,-3.231931508E-2,3.527076616E-2
1.607334000E0,-9.288119338E-3,-2.164220793E-2,-3.276896596E-2,4.035417519E-2
1.617288000E0,-5.382544734E-3,-2.865225205E-2,-3.531367421E-2,4.579278242E-2
1.627243000E0,1.670180406E-2,-2.388583940E-2,-3.276487291E-2,4.385225740E-2
1.637197000E0,2.038237050E-2,1.014877466E-2,-2.273572862E-2,3.217688628E-2
1.647152000E0,2.372273862E-2,2.283953497E-2,-2.231882215E-3,3.300596891E-2
1.657106000E0,1.453932099E-2,3.447562203E-2,-3.306191146E-2,4.993045522E-2
1.667061000E0,-1.353279591E-2,6.766379680E-3,-9.557273984E-3,1.789586391E-2
1.677015000E0,-1.565021887E-2,-1.631374994E-2,-1.494606793E-2,2.710078845E-2
1.686968625E0,-4.930664599E-4,-3.332108930E-2,-3.620186627E-2,4.920480899E-2
1.696923625E0,1.177746177E-2,-3.539579105E-2,-3.201116681E-2,4.915572632E-2
1.706877625E0,2.477658961E-2,-6.120901890E-3,-2.138736069E-2,3.329810850E-2
1.716832625E0,2.851836909E-2,2.364442248E-2,-2.857183456E-2,4.678360632E-2
1.726786625E0,7.828837037E-3,8.974763397E-3,-2.991610944E-2,3.219954459E-2
1.736741625E0,6.041270122E-3,7.014100626E-3,-1.779307723E-2,2.005712217E-2
1.746695625E0,-8.486173712E-3,-1.103535874E-2,-4.039373517E-2,4.272526334E-2
1.756649625E0,-1.285225309E-2,-2.190007014E-2,-3.140364110E-2,4.038542010E-2
1.766604625E0,5.672530085E-3,-2.426837521E-2,-4.232623994E-2,4.911865451E-2
1.776558625E0,1.488507416E-2,-4.747445751E-3,-1.912214935E-2,2.469332439E-2
1.786513625E0,1.377951186E-2,2.593572702E-2,-1.852631807E-2,3.472407443E-2
