"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.719063333E0;5.676056687E-2;2.353396492E-2;2.217322648E-2;6.532427901E-2
1.729058333E0;7.736279268E-2;9.068629481E-3;3.415358663E-2;8.505121522E-2
1.739053333E0;8.064858070E-2;7.707288042E-3;1.375265121E-3;8.102769410E-2
1.749049333E0;9.294754101E-2;4.455295103E-3;2.263749540E-2;9.576821619E-2
1.759044333E0;1.097422427E-1;-1.261989936E-2;1.485835969E-2;1.114602734E-1
1.769040333E0;1.168697976E-1;-2.719722725E-3;1.201485872E-2;1.175172469E-1
1.779035333E0;7.983682271E-2;1.414555670E-2;6.779846549E-3;8.136326784E-2
1.789030333E0;6.468999429E-2;2.279699648E-2;-2.053542137E-3;6.862008048E-2
1.799026333E0;4.812337054E-2;2.801650439E-2;1.888650656E-4;5.568499780E-2
1.809021333E0;2.049233470E-2;2.139566557E-2;-1.792347014E-2;3.462601722E-2
1.819017333E0;3.678540012E-2;2.619703361E-2;2.579206824E-3;4.523386496E-2
1.829012333E0;6.105454277E-2;2.393518441E-2;6.338381767E-4;6.558164375E-2
1.839007333E0;4.220617102E-2;-4.304519165E-3;1.695166290E-2;4.568641628E-2
1.849003333E0;1.858725702E-2;-6.584074460E-3;1.141376495E-2;2.278398979E-2
1.858998333E0;5.951699914E-2;1.132940060E-2;9.323385358E-3;6.129889085E-2
1.868994333E0;7.234012580E-2;2.760955646E-2;-4.147430062E-3;7.754084462E-2
1.878989333E0;6.891040491E-2;4.681207761E-3;-9.835601449E-3;6.976601369E-2
1.888984333E0;8.935682070E-2;-1.218078260E-2;-1.301590204E-3;9.019261060E-2
1.898980333E0;9.936802134E-2;-5.384107037E-3;8.432854414E-3;9.987044261E-2
1.908975333E0;8.886808483E-2;8.023421410E-3;2.384962320E-2;9.236187698E-2
1.918971333E0;8.476087265E-2;3.121407255E-2;2.414783120E-2;9.349781606E-2
1.928965958E0;9.707308056E-2;2.050919113E-2;4.899674356E-2;1.106548271E-1
1.938960958E0;7.109609412E-2;3.838141590E-2;3.702223063E-2;8.887313006E-2
1.948956958E0;5.082246356E-2;4.976957188E-2;3.882141888E-2;8.103724854E-2
1.958951958E0;4.787639877E-2;4.307780815E-2;3.074232101E-2;7.136481917E-2
1.968947958E0;2.498445813E-2;4.425866249E-2;1.023788989E-2;5.184464044E-2
1.978942958E0;2.014585063E-2;9.554971643E-3;1.607633471E-2;2.748820326E-2
1.988937958E0;4.651573341E-2;1.635237811E-3;5.447850823E-3;4.686220797E-2
1.998933958E0;6.961568875E-2;2.109584045E-3;-7.723587155E-3;7.007459071E-2
2.008928958E0;7.857661983E-2;-1.802294590E-2;-1.415786326E-2;8.185082073E-2
2.018924958E0;7.374645425E-2;-1.866891704E-2;6.949415803E-3;7.638954351E-2
2.028919958E0;7.738470146E-2;-5.868795533E-3;-1.714462101E-2;7.947812788E-2
2.038914958E0;8.039828332E-2;-2.408769624E-3;1.129857481E-2;8.122403539E-2
2.048910958E0;1.122415071E-1;5.580966342E-3;3.366826773E-3;1.124305947E-1
2.058905958E0;1.022137516E-1;2.538669175E-3;2.881273985E-2;1.062274439E-1
2.068901958E0;9.525483403E-2;1.889080974E-2;1.773635924E-2;9.871638435E-2
2.078896958E0;7.191488704E-2;5.070322604E-2;2.162709653E-2;9.061070253E-2
2.088891958E0;5.699750701E-2;5.419798806E-2;7.255225182E-3;7.898592285E-2
2.098887958E0;2.789536653E-2;3.698823455E-2;2.102775693E-2;5.087678774E-2
2.108882958E0;1.533887291E-2;2.638175081E-2;1.249491513E-2;3.297575931E-2
2.118878958E0;3.863081792E-2;4.038754078E-2;1.608452082E-2;5.815673094E-2
2.128873958E0;3.265129074E-2;1.699614742E-2;4.860790372E-3;3.712954480E-2
2.138868958E0;3.038297307E-2;4.258024665E-3;3.365072608E-3;3.086388731E-2
2.148864958E0;3.653004125E-2;-1.280680013E-2;2.172240615E-3;3.877082244E-2
2.158859958E0;7.049534753E-2;-1.843171195E-2;6.215590239E-3;7.312971756E-2
2.168855958E0;8.257439772E-2;-1.064078132E-2;2.717318058E-2;8.757933048E-2
2.178850958E0;5.302503660E-2;-8.630481167E-3;1.670198679E-2;5.625918658E-2
2.188846958E0;6.519570535E-2;-1.875284286E-3;1.774863839E-2;6.759445874E-2
2.198841958E0;5.978646442E-2;2.347569376E-2;1.430521309E-2;6.580401696E-2
2.208836958E0;5.757910397E-2;3.097531429E-2;-8.745680451E-3;6.596446191E-2
2.218832958E0;6.443200417E-2;1.470444088E-2;-4.256772995E-3;6.622555292E-2
2.228827958E0;1.121770416E-1;1.246445479E-2;-2.072487116E-2;1.147543968E-1
2.238822958E0;1.629394433E-1;4.639610304E-3;-1.129331231E-2;1.633962272E-1
2.248818958E0;1.128792922E-1;9.130564285E-3;8.419990540E-5;1.132479973E-1
2.258813958E0;1.088886223E-1;1.159950541E-2;3.226785958E-2;1.141599551E-1
2.268809958E0;6.034531206E-2;4.328140089E-2;2.957521677E-2;7.993453445E-2
2.278804958E0;1.670301005E-2;4.701609976E-2;4.873069525E-3;5.013233475E-2
2.288800958E0;8.871505223E-4;3.958353949E-2;4.693618476E-2;6.140561110E-2
2.298795958E0;-6.154194474E-5;1.478207180E-2;3.391560495E-2;3.699704979E-2
2.308790958E0;2.107921243E-4;1.160553535E-3;3.870915234E-2;3.872711960E-2
2.318786958E0;3.718070844E-2;4.650263200E-3;1.835090160E-2;4.172272304E-2
2.328781958E0;5.159508174E-2;-1.648914814E-2;3.152350903E-2;6.267117430E-2
